date,max_temp,min_temp
2026-07-07,31.2,21.7
2026-07-08,31.4,21.2
2026-07-09,30.8,21.8
2026-07-10,31.1,23.0
2026-07-11,31.1,22.5
2026-07-12,31.3,23.1
2026-07-13,31.9,23.4
2026-07-14,31.3,23.6
